eegLowAlpha,eSenseMeditation,objectId,eegTheta,eegLowBeta,eegHighGamma,eegLowGamma,updatedAt,eegDelta,poorSignal,eegHighBeta,createdAt,eegHighAlpha,eSenseAttention
790,66,FRp91nGxef,42386,7690,5586,12847,2014-08-03T19:08:18.691Z,407496,0,8559,2014-08-03T19:08:18.691Z,13122,26
0,0,iVDTb3VvMt,0,0,0,0,2014-08-03T19:08:19.239Z,0,0,0,2014-08-03T19:08:19.239Z,0,0
63079,77,VfesFVfW81,237652,97474,27723,5112,2014-08-03T19:08:19.878Z,261453,0,40465,2014-08-03T19:08:19.878Z,46339,43
35700,81,ncqggZZSxr,125415,9233,7616,6031,2014-08-03T19:08:20.695Z,812938,0,15448,2014-08-03T19:08:20.695Z,14990,43
6372,88,undpp9Apk4,4592,4653,6028,3683,2014-08-03T19:08:21.655Z,5304,0,9835,2014-08-03T19:08:21.655Z,13068,64
0,0,jDLh05OHHw,0,0,0,0,2014-08-03T19:08:22.114Z,0,0,0,2014-08-03T19:08:22.114Z,0,0
9946,88,HuC5IK5MPY,147106,38971,10795,14004,2014-08-03T19:08:22.703Z,755999,0,10320,2014-08-03T19:08:22.703Z,29682,53
915788,100,g2zS1Ii7MF,1951121,655505,878906,773147,2014-08-03T19:08:23.684Z,2627686,0,945631,2014-08-03T19:08:23.684Z,2164703,60
0,0,4anPZYEAOc,0,0,0,0,2014-08-03T19:08:23.990Z,0,0,0,2014-08-03T19:08:23.990Z,0,0
169101,93,HaHlCYqT8I,1154850,206064,212191,211795,2014-08-03T19:08:24.666Z,1034052,0,275127,2014-08-03T19:08:24.666Z,131551,66
0,0,EnctPIMnQR,0,0,0,0,2014-08-03T19:08:25.416Z,0,0,0,2014-08-03T19:08:25.416Z,0,0
376072,93,uFZWqtUFfh,528340,49791,57257,76025,2014-08-03T19:08:25.768Z,1181809,26,47563,2014-08-03T19:08:25.768Z,48824,66
0,0,RAAtfHnJGZ,0,0,0,0,2014-08-03T19:08:26.505Z,0,0,0,2014-08-03T19:08:26.505Z,0,0
27307,80,fSykJlBusl,91030,56466,6483,16852,2014-08-03T19:08:26.638Z,264940,0,31566,2014-08-03T19:08:26.638Z,24589,60
0,0,ULMUdb1FbO,0,0,0,0,2014-08-03T19:08:26.863Z,0,0,0,2014-08-03T19:08:26.863Z,0,0
0,0,EqUl3Th9sh,0,0,0,0,2014-08-03T19:08:27.675Z,0,0,0,2014-08-03T19:08:27.675Z,0,0
433246,96,19v0do5aoP,433301,55257,71647,63836,2014-08-03T19:08:27.707Z,1084741,0,203492,2014-08-03T19:08:27.707Z,216240,74
0,0,Dm0LicOwcP,0,0,0,0,2014-08-03T19:08:27.855Z,0,0,0,2014-08-03T19:08:27.855Z,0,0
11807,67,WaTbtvYehf,542004,25528,33692,22068,2014-08-03T19:08:28.675Z,1398469,0,10937,2014-08-03T19:08:28.675Z,35083,47
62871,70,tJ86cXsnE3,581672,34875,26805,26838,2014-08-03T19:08:29.676Z,1753836,0,28470,2014-08-03T19:08:29.676Z,71240,27
0,0,TEkNbiOM0S,0,0,0,0,2014-08-03T19:08:29.840Z,0,0,0,2014-08-03T19:08:29.840Z,0,0
0,0,p6J3gLybrZ,0,0,0,0,2014-08-03T19:08:30.166Z,0,0,0,2014-08-03T19:08:30.166Z,0,0
352011,74,URinjzpyey,810954,127015,55108,115350,2014-08-03T19:08:30.684Z,2237938,0,62005,2014-08-03T19:08:30.684Z,22310,11
0,0,GRKDJphpM5,0,0,0,0,2014-08-03T19:08:31.204Z,0,0,0,2014-08-03T19:08:31.204Z,0,0
0,0,lJK3K57OGN,0,0,0,0,2014-08-03T19:08:31.326Z,0,0,0,2014-08-03T19:08:31.326Z,0,0
316512,69,ASHia9Im8f,794293,90667,75606,126335,2014-08-03T19:08:31.588Z,1335988,0,70617,2014-08-03T19:08:31.588Z,279666,1
0,0,zcXZxknpY8,0,0,0,0,2014-08-03T19:08:32.335Z,0,0,0,2014-08-03T19:08:32.335Z,0,0
337180,91,DQstc7hmmm,573179,126671,73896,176749,2014-08-03T19:08:32.623Z,1781918,0,441982,2014-08-03T19:08:32.623Z,296387,30
11037,91,jnF3SQ5Q4q,41348,9887,13355,18145,2014-08-03T19:08:33.691Z,97987,26,14737,2014-08-03T19:08:33.691Z,14179,30
0,0,RGwfvX55NM,0,0,0,0,2014-08-03T19:08:34.090Z,0,0,0,2014-08-03T19:08:34.090Z,0,0
0,0,YPqTbJoYgk,0,0,0,0,2014-08-03T19:08:34.135Z,0,0,0,2014-08-03T19:08:34.135Z,0,0
944206,100,unYXhB8D6a,1923196,290979,622653,1364197,2014-08-03T19:08:34.651Z,1393974,0,613416,2014-08-03T19:08:34.651Z,636197,48
0,0,mqSGKTV2aF,0,0,0,0,2014-08-03T19:08:35.564Z,0,0,0,2014-08-03T19:08:35.564Z,0,0
104965,88,qKwMFxDr1k,1650389,80371,95985,124350,2014-08-03T19:08:35.664Z,1848465,0,115619,2014-08-03T19:08:35.664Z,102855,50
0,0,kRLxCEJG4N,0,0,0,0,2014-08-03T19:08:36.256Z,0,0,0,2014-08-03T19:08:36.256Z,0,0
220993,87,HKmcbHM7bn,421296,43241,42939,29369,2014-08-03T19:08:36.703Z,512963,0,55949,2014-08-03T19:08:36.703Z,41912,54
0,0,HfFh4YWcb0,0,0,0,0,2014-08-03T19:08:36.935Z,0,0,0,2014-08-03T19:08:36.935Z,0,0
13674,87,B6bGCnicEC,98808,15062,13507,13881,2014-08-03T19:08:37.617Z,571182,26,12018,2014-08-03T19:08:37.617Z,38710,54
0,0,qEbx9SenAr,0,0,0,0,2014-08-03T19:08:37.930Z,0,0,0,2014-08-03T19:08:37.930Z,0,0
0,0,fk257VRQYO,0,0,0,0,2014-08-03T19:08:38.377Z,0,0,0,2014-08-03T19:08:38.377Z,0,0
38937,88,JEDOkWmPLw,170861,13508,32639,25346,2014-08-03T19:08:38.586Z,1326282,0,21111,2014-08-03T19:08:38.586Z,87129,37
0,0,S6oMQcP5KZ,0,0,0,0,2014-08-03T19:08:39.079Z,0,0,0,2014-08-03T19:08:39.079Z,0,0
343217,83,vsoK2lE92n,651378,426448,73915,113022,2014-08-03T19:08:39.683Z,1232865,0,50283,2014-08-03T19:08:39.683Z,109879,20
135928,100,sylo6BY3Ee,448105,141176,158254,175550,2014-08-03T19:08:40.682Z,1014468,0,64450,2014-08-03T19:08:40.682Z,190608,24
0,0,Tqp6LfTy4E,0,0,0,0,2014-08-03T19:08:40.951Z,0,0,0,2014-08-03T19:08:40.951Z,0,0
32544,93,B8U5yVAODF,171686,69631,60511,6906,2014-08-03T19:08:41.647Z,923397,0,37925,2014-08-03T19:08:41.647Z,47207,30
0,0,IBh8nceBE7,0,0,0,0,2014-08-03T19:08:41.836Z,0,0,0,2014-08-03T19:08:41.836Z,0,0
140585,93,u39rZACSwd,671838,153761,45145,105475,2014-08-03T19:08:42.601Z,615877,26,121594,2014-08-03T19:08:42.601Z,201648,30
43773,78,kgBOepAc77,374157,93033,51564,117555,2014-08-03T19:08:43.564Z,1096811,0,43134,2014-08-03T19:08:43.564Z,54471,35
43688,67,OpkhfHlVS7,384546,100293,13718,17673,2014-08-03T19:08:44.618Z,421181,0,36366,2014-08-03T19:08:44.618Z,44493,40
43284,70,tTrZpFVDtG,53415,44910,4974,18404,2014-08-03T19:08:45.586Z,74304,0,15983,2014-08-03T19:08:45.586Z,24703,44
0,0,Gz9b3QH1Nh,0,0,0,0,2014-08-03T19:08:46.525Z,0,0,0,2014-08-03T19:08:46.525Z,0,0
